"id","quantity","reference","js","r","rel_diff","tol","pass"
"brr_mean_math_SINGLE","estimate","direct BRR",507.844861764203,507.844861764203,0,1e-06,TRUE
"brr_mean_math_SINGLE","se","direct BRR",1.88624485678781,1.88624485678781,0,1e-06,TRUE
"brr_mean_escs_SINGLE","estimate","direct BRR",0.296475904877913,0.296475904877913,0,1e-06,TRUE
"brr_mean_escs_SINGLE","se","direct BRR",0.0192134085082804,0.0192134085082804,0,1e-06,TRUE
"brr_slope_SINGLE","estimate","direct BRR",35.8525097998939,35.8525097998939,0,1e-06,TRUE
"brr_slope_SINGLE","se","direct BRR",1.74773296098416,1.74773296098416,1.14342493329185e-15,1e-06,TRUE
"brr_mean_math_MULTI","estimate","direct BRR",467.868693769038,467.868693769038,0,1e-06,TRUE
"brr_mean_math_MULTI","se","direct BRR",1.81233661887402,1.81233661887402,0,1e-06,TRUE
"brr_slope_MULTI","estimate","direct BRR",37.1274264663593,37.1274264663593,0,1e-06,TRUE
"brr_slope_MULTI","se","direct BRR",0.959214860385387,0.959214860385387,3.47228677476629e-16,1e-06,TRUE
"brr_mean_math_SINGLE","se","intsvy.mean",1.88624485678781,1.88624485678781,0,0.005,TRUE
"brr_slope_SINGLE","se","intsvy.reg",1.74773296098416,1.74773296098414,1.06719660440574e-14,0.005,TRUE
"brr_mean_math_FIN_2015","se","direct BRR",2.04562660887452,2.04562660887452,0,1e-06,TRUE
"brr_slope_FIN_2015","se","direct BRR",1.8659993524657,1.8659993524657,4.75980025677127e-16,1e-06,TRUE
"brr_mean_math_FIN_2015","se","intsvy.mean",2.04562660887452,2.04562660887452,0,0.005,TRUE
"brr_mean_math_FIN_2018","se","direct BRR",1.88624485678781,1.88624485678781,0,1e-06,TRUE
"brr_slope_FIN_2018","se","direct BRR",1.74773296098416,1.74773296098416,1.14342493329185e-15,1e-06,TRUE
"brr_mean_math_FIN_2018","se","intsvy.mean",1.88624485678781,1.88624485678781,0,0.005,TRUE
"brr_mean_math_FIN_2022","se","direct BRR",1.81255338002693,1.81255338002693,0,1e-06,TRUE
"brr_slope_FIN_2022","se","direct BRR",1.30580571864712,1.30580571864712,6.80176543123369e-16,1e-06,TRUE
"brr_mean_math_FIN_2022","se","intsvy.mean",1.81255338002693,1.81255338002693,0,0.005,TRUE
