series_id,name,category,transform,unit
CPIAUCSL,CPI Inflation (YoY),Inflation,yoy,%
PCEPI,PCE Inflation (YoY),Inflation,yoy,%
T10YIE,10Y Breakeven Inflation,Inflation,level,%
M2SL,M2 Money Supply (YoY),Liquidity,yoy,%
OPHNFB,Labor Productivity (YoY),Growth,yoyq,%
GDPC1,Real GDP (YoY),Growth,yoyq,%
UNRATE,Unemployment Rate,Labor,level,%
DGS10,10Y Treasury Yield,Rates,level,%
DGS2,2Y Treasury Yield,Rates,level,%
T10Y2Y,10Y minus 2Y Curve,Rates,level,%
DFII10,10Y Real Yield,Rates,level,%
FEDFUNDS,Fed Funds Rate,Rates,level,%
BAMLH0A0HYM2,High-Yield Credit Spread,Credit,level,%
DTWEXBGS,Broad US Dollar Index,FX,level,
