family,indicator_code,label,example_api_url
PISA,LO.PISA.MAT,PISA: Mean performance on mathematics (score),https://api.worldbank.org/v2/country/USA;DEU;FRA;CHE;SWE;NOR;FIN;DNK;GBR;IRL;NLD;BEL;AUT;ITA;ESP;PRT;GRC;POL;CZE;HUN;SVK;SVN;EST;LVA;LTU;ISL;CAN;AUS;NZL;JPN;KOR;SGP;CHN;HKG;TWN;RUS;TUR;BRA;ARG;CHL;MEX;COL;ZAF;IND;IDN;MYS;THA;VNM;PHL;ARE;SAU;ISR/indicator/LO.PISA.MAT?format=json&per_page=20000
PISA,LO.PISA.REA,PISA: Mean performance on reading (score),https://api.worldbank.org/v2/country/USA;DEU;FRA;CHE;SWE;NOR;FIN;DNK;GBR;IRL;NLD;BEL;AUT;ITA;ESP;PRT;GRC;POL;CZE;HUN;SVK;SVN;EST;LVA;LTU;ISL;CAN;AUS;NZL;JPN;KOR;SGP;CHN;HKG;TWN;RUS;TUR;BRA;ARG;CHL;MEX;COL;ZAF;IND;IDN;MYS;THA;VNM;PHL;ARE;SAU;ISR/indicator/LO.PISA.REA?format=json&per_page=20000
PISA,LO.PISA.SCI,PISA: Mean performance on science (score),https://api.worldbank.org/v2/country/USA;DEU;FRA;CHE;SWE;NOR;FIN;DNK;GBR;IRL;NLD;BEL;AUT;ITA;ESP;PRT;GRC;POL;CZE;HUN;SVK;SVN;EST;LVA;LTU;ISL;CAN;AUS;NZL;JPN;KOR;SGP;CHN;HKG;TWN;RUS;TUR;BRA;ARG;CHL;MEX;COL;ZAF;IND;IDN;MYS;THA;VNM;PHL;ARE;SAU;ISR/indicator/LO.PISA.SCI?format=json&per_page=20000
PISA,LO.PISA.MAT.FE,"PISA: Mean performance on mathematics, female (score)",https://api.worldbank.org/v2/country/USA;DEU;FRA;CHE;SWE;NOR;FIN;DNK;GBR;IRL;NLD;BEL;AUT;ITA;ESP;PRT;GRC;POL;CZE;HUN;SVK;SVN;EST;LVA;LTU;ISL;CAN;AUS;NZL;JPN;KOR;SGP;CHN;HKG;TWN;RUS;TUR;BRA;ARG;CHL;MEX;COL;ZAF;IND;IDN;MYS;THA;VNM;PHL;ARE;SAU;ISR/indicator/LO.PISA.MAT.FE?format=json&per_page=20000
PISA,LO.PISA.MAT.MA,"PISA: Mean performance on mathematics, male (score)",https://api.worldbank.org/v2/country/USA;DEU;FRA;CHE;SWE;NOR;FIN;DNK;GBR;IRL;NLD;BEL;AUT;ITA;ESP;PRT;GRC;POL;CZE;HUN;SVK;SVN;EST;LVA;LTU;ISL;CAN;AUS;NZL;JPN;KOR;SGP;CHN;HKG;TWN;RUS;TUR;BRA;ARG;CHL;MEX;COL;ZAF;IND;IDN;MYS;THA;VNM;PHL;ARE;SAU;ISR/indicator/LO.PISA.MAT.MA?format=json&per_page=20000
PISA,LO.PISA.REA.FE,"PISA: Mean performance on reading, female (score)",https://api.worldbank.org/v2/country/USA;DEU;FRA;CHE;SWE;NOR;FIN;DNK;GBR;IRL;NLD;BEL;AUT;ITA;ESP;PRT;GRC;POL;CZE;HUN;SVK;SVN;EST;LVA;LTU;ISL;CAN;AUS;NZL;JPN;KOR;SGP;CHN;HKG;TWN;RUS;TUR;BRA;ARG;CHL;MEX;COL;ZAF;IND;IDN;MYS;THA;VNM;PHL;ARE;SAU;ISR/indicator/LO.PISA.REA.FE?format=json&per_page=20000
PISA,LO.PISA.REA.MA,"PISA: Mean performance on reading, male (score)",https://api.worldbank.org/v2/country/USA;DEU;FRA;CHE;SWE;NOR;FIN;DNK;GBR;IRL;NLD;BEL;AUT;ITA;ESP;PRT;GRC;POL;CZE;HUN;SVK;SVN;EST;LVA;LTU;ISL;CAN;AUS;NZL;JPN;KOR;SGP;CHN;HKG;TWN;RUS;TUR;BRA;ARG;CHL;MEX;COL;ZAF;IND;IDN;MYS;THA;VNM;PHL;ARE;SAU;ISR/indicator/LO.PISA.REA.MA?format=json&per_page=20000
PISA,LO.PISA.SCI.FE,"PISA: Mean performance on science, female (score)",https://api.worldbank.org/v2/country/USA;DEU;FRA;CHE;SWE;NOR;FIN;DNK;GBR;IRL;NLD;BEL;AUT;ITA;ESP;PRT;GRC;POL;CZE;HUN;SVK;SVN;EST;LVA;LTU;ISL;CAN;AUS;NZL;JPN;KOR;SGP;CHN;HKG;TWN;RUS;TUR;BRA;ARG;CHL;MEX;COL;ZAF;IND;IDN;MYS;THA;VNM;PHL;ARE;SAU;ISR/indicator/LO.PISA.SCI.FE?format=json&per_page=20000
PISA,LO.PISA.SCI.MA,"PISA: Mean performance on science, male (score)",https://api.worldbank.org/v2/country/USA;DEU;FRA;CHE;SWE;NOR;FIN;DNK;GBR;IRL;NLD;BEL;AUT;ITA;ESP;PRT;GRC;POL;CZE;HUN;SVK;SVN;EST;LVA;LTU;ISL;CAN;AUS;NZL;JPN;KOR;SGP;CHN;HKG;TWN;RUS;TUR;BRA;ARG;CHL;MEX;COL;ZAF;IND;IDN;MYS;THA;VNM;PHL;ARE;SAU;ISR/indicator/LO.PISA.SCI.MA?format=json&per_page=20000
PISA,LO.PISA.MAT.0,PISA: % below Level 1 in mathematics,https://api.worldbank.org/v2/country/USA;DEU;FRA;CHE;SWE;NOR;FIN;DNK;GBR;IRL;NLD;BEL;AUT;ITA;ESP;PRT;GRC;POL;CZE;HUN;SVK;SVN;EST;LVA;LTU;ISL;CAN;AUS;NZL;JPN;KOR;SGP;CHN;HKG;TWN;RUS;TUR;BRA;ARG;CHL;MEX;COL;ZAF;IND;IDN;MYS;THA;VNM;PHL;ARE;SAU;ISR/indicator/LO.PISA.MAT.0?format=json&per_page=20000
PISA,LO.PISA.REA.0,PISA: % below Level 1B in reading,https://api.worldbank.org/v2/country/USA;DEU;FRA;CHE;SWE;NOR;FIN;DNK;GBR;IRL;NLD;BEL;AUT;ITA;ESP;PRT;GRC;POL;CZE;HUN;SVK;SVN;EST;LVA;LTU;ISL;CAN;AUS;NZL;JPN;KOR;SGP;CHN;HKG;TWN;RUS;TUR;BRA;ARG;CHL;MEX;COL;ZAF;IND;IDN;MYS;THA;VNM;PHL;ARE;SAU;ISR/indicator/LO.PISA.REA.0?format=json&per_page=20000
PISA,LO.PISA.SCI.0,PISA: % below Level 1B in science,https://api.worldbank.org/v2/country/USA;DEU;FRA;CHE;SWE;NOR;FIN;DNK;GBR;IRL;NLD;BEL;AUT;ITA;ESP;PRT;GRC;POL;CZE;HUN;SVK;SVN;EST;LVA;LTU;ISL;CAN;AUS;NZL;JPN;KOR;SGP;CHN;HKG;TWN;RUS;TUR;BRA;ARG;CHL;MEX;COL;ZAF;IND;IDN;MYS;THA;VNM;PHL;ARE;SAU;ISR/indicator/LO.PISA.SCI.0?format=json&per_page=20000
TIMSS,LO.TIMSS.MAT4,"TIMSS: Mean performance on mathematics, 4th grade (score)",https://api.worldbank.org/v2/country/USA;DEU;FRA;CHE;SWE;NOR;FIN;DNK;GBR;IRL;NLD;BEL;AUT;ITA;ESP;PRT;GRC;POL;CZE;HUN;SVK;SVN;EST;LVA;LTU;ISL;CAN;AUS;NZL;JPN;KOR;SGP;CHN;HKG;TWN;RUS;TUR;BRA;ARG;CHL;MEX;COL;ZAF;IND;IDN;MYS;THA;VNM;PHL;ARE;SAU;ISR/indicator/LO.TIMSS.MAT4?format=json&per_page=20000
TIMSS,LO.TIMSS.SCI4,"TIMSS: Mean performance on science, 4th grade (score)",https://api.worldbank.org/v2/country/USA;DEU;FRA;CHE;SWE;NOR;FIN;DNK;GBR;IRL;NLD;BEL;AUT;ITA;ESP;PRT;GRC;POL;CZE;HUN;SVK;SVN;EST;LVA;LTU;ISL;CAN;AUS;NZL;JPN;KOR;SGP;CHN;HKG;TWN;RUS;TUR;BRA;ARG;CHL;MEX;COL;ZAF;IND;IDN;MYS;THA;VNM;PHL;ARE;SAU;ISR/indicator/LO.TIMSS.SCI4?format=json&per_page=20000
TIMSS,LO.TIMSS.MAT8,"TIMSS: Mean performance on mathematics, 8th grade (score)",https://api.worldbank.org/v2/country/USA;DEU;FRA;CHE;SWE;NOR;FIN;DNK;GBR;IRL;NLD;BEL;AUT;ITA;ESP;PRT;GRC;POL;CZE;HUN;SVK;SVN;EST;LVA;LTU;ISL;CAN;AUS;NZL;JPN;KOR;SGP;CHN;HKG;TWN;RUS;TUR;BRA;ARG;CHL;MEX;COL;ZAF;IND;IDN;MYS;THA;VNM;PHL;ARE;SAU;ISR/indicator/LO.TIMSS.MAT8?format=json&per_page=20000
TIMSS,LO.TIMSS.SCI8,"TIMSS: Mean performance on science, 8th grade (score)",https://api.worldbank.org/v2/country/USA;DEU;FRA;CHE;SWE;NOR;FIN;DNK;GBR;IRL;NLD;BEL;AUT;ITA;ESP;PRT;GRC;POL;CZE;HUN;SVK;SVN;EST;LVA;LTU;ISL;CAN;AUS;NZL;JPN;KOR;SGP;CHN;HKG;TWN;RUS;TUR;BRA;ARG;CHL;MEX;COL;ZAF;IND;IDN;MYS;THA;VNM;PHL;ARE;SAU;ISR/indicator/LO.TIMSS.SCI8?format=json&per_page=20000
TIMSS,LO.TIMSS.MAT4.FE,"TIMSS: Mean performance on mathematics, 4th grade, female (score)",https://api.worldbank.org/v2/country/USA;DEU;FRA;CHE;SWE;NOR;FIN;DNK;GBR;IRL;NLD;BEL;AUT;ITA;ESP;PRT;GRC;POL;CZE;HUN;SVK;SVN;EST;LVA;LTU;ISL;CAN;AUS;NZL;JPN;KOR;SGP;CHN;HKG;TWN;RUS;TUR;BRA;ARG;CHL;MEX;COL;ZAF;IND;IDN;MYS;THA;VNM;PHL;ARE;SAU;ISR/indicator/LO.TIMSS.MAT4.FE?format=json&per_page=20000
TIMSS,LO.TIMSS.MAT4.MA,"TIMSS: Mean performance on mathematics, 4th grade, male (score)",https://api.worldbank.org/v2/country/USA;DEU;FRA;CHE;SWE;NOR;FIN;DNK;GBR;IRL;NLD;BEL;AUT;ITA;ESP;PRT;GRC;POL;CZE;HUN;SVK;SVN;EST;LVA;LTU;ISL;CAN;AUS;NZL;JPN;KOR;SGP;CHN;HKG;TWN;RUS;TUR;BRA;ARG;CHL;MEX;COL;ZAF;IND;IDN;MYS;THA;VNM;PHL;ARE;SAU;ISR/indicator/LO.TIMSS.MAT4.MA?format=json&per_page=20000
TIMSS,LO.TIMSS.SCI4.FE,"TIMSS: Mean performance on science, 4th grade, female (score)",https://api.worldbank.org/v2/country/USA;DEU;FRA;CHE;SWE;NOR;FIN;DNK;GBR;IRL;NLD;BEL;AUT;ITA;ESP;PRT;GRC;POL;CZE;HUN;SVK;SVN;EST;LVA;LTU;ISL;CAN;AUS;NZL;JPN;KOR;SGP;CHN;HKG;TWN;RUS;TUR;BRA;ARG;CHL;MEX;COL;ZAF;IND;IDN;MYS;THA;VNM;PHL;ARE;SAU;ISR/indicator/LO.TIMSS.SCI4.FE?format=json&per_page=20000
TIMSS,LO.TIMSS.SCI4.MA,"TIMSS: Mean performance on science, 4th grade, male (score)",https://api.worldbank.org/v2/country/USA;DEU;FRA;CHE;SWE;NOR;FIN;DNK;GBR;IRL;NLD;BEL;AUT;ITA;ESP;PRT;GRC;POL;CZE;HUN;SVK;SVN;EST;LVA;LTU;ISL;CAN;AUS;NZL;JPN;KOR;SGP;CHN;HKG;TWN;RUS;TUR;BRA;ARG;CHL;MEX;COL;ZAF;IND;IDN;MYS;THA;VNM;PHL;ARE;SAU;ISR/indicator/LO.TIMSS.SCI4.MA?format=json&per_page=20000
TIMSS,LO.TIMSS.MAT8.FE,"TIMSS: Mean performance on mathematics, 8th grade, female (score)",https://api.worldbank.org/v2/country/USA;DEU;FRA;CHE;SWE;NOR;FIN;DNK;GBR;IRL;NLD;BEL;AUT;ITA;ESP;PRT;GRC;POL;CZE;HUN;SVK;SVN;EST;LVA;LTU;ISL;CAN;AUS;NZL;JPN;KOR;SGP;CHN;HKG;TWN;RUS;TUR;BRA;ARG;CHL;MEX;COL;ZAF;IND;IDN;MYS;THA;VNM;PHL;ARE;SAU;ISR/indicator/LO.TIMSS.MAT8.FE?format=json&per_page=20000
TIMSS,LO.TIMSS.MAT8.MA,"TIMSS: Mean performance on mathematics, 8th grade, male (score)",https://api.worldbank.org/v2/country/USA;DEU;FRA;CHE;SWE;NOR;FIN;DNK;GBR;IRL;NLD;BEL;AUT;ITA;ESP;PRT;GRC;POL;CZE;HUN;SVK;SVN;EST;LVA;LTU;ISL;CAN;AUS;NZL;JPN;KOR;SGP;CHN;HKG;TWN;RUS;TUR;BRA;ARG;CHL;MEX;COL;ZAF;IND;IDN;MYS;THA;VNM;PHL;ARE;SAU;ISR/indicator/LO.TIMSS.MAT8.MA?format=json&per_page=20000
